amount,account_age_days,transactions_24h,failed_transactions_24h,device_changes_30d,location_mismatch,international_transaction,previous_chargebacks,is_risky
109.59,1898,3,0,0,0,0,0,0
58.08,1656,4,1,1,0,0,0,0
127.45,1873,4,1,0,1,0,0,0
305.83,1055,2,2,0,0,0,0,0
52.76,693,6,1,0,0,0,0,0
52.77,1698,6,1,0,0,1,0,0
323.5,128,5,0,2,0,0,0,0
143.66,767,3,0,0,0,0,0,0
41.7,1318,4,2,0,0,0,0,1
114.73,441,6,0,0,1,0,0,0
41.95,869,3,2,0,1,0,0,0
41.86,1412,5,1,1,0,0,0,0
84.94,1790,3,0,0,0,0,0,0
9.84,1666,9,0,2,0,0,0,0
11.88,524,3,1,1,0,0,0,0
38.0,1571,0,0,1,0,0,1,0
24.22,1734,1,4,1,0,0,0,1
91.31,760,1,0,0,0,0,0,0
26.9,110,5,3,0,0,1,0,0
16.24,1352,4,0,1,0,0,0,0
288.78,1429,2,1,1,0,1,0,0
53.21,1269,9,1,0,0,0,0,0
71.35,1786,3,0,1,0,0,1,1
16.04,1902,3,2,1,1,1,0,0
38.69,1853,3,1,1,0,0,0,0
74.51,163,5,4,0,1,0,0,0
21.09,560,3,1,0,0,0,0,0
97.1,399,3,2,1,0,0,0,0
36.57,583,4,1,0,0,0,0,0
49.81,399,1,1,1,1,0,0,1
36.54,1517,6,1,0,0,0,0,0
425.08,1670,6,0,1,0,0,0,0
65.79,239,8,0,0,0,0,0,0
23.16,1489,1,1,0,1,0,0,0
151.8,1604,2,0,1,1,0,0,0
19.67,1814,2,0,1,0,1,0,0
82.18,1056,3,0,1,0,0,0,0
9.4,1147,1,3,0,0,0,0,0
17.67,1558,3,0,1,0,0,0,0
81.2,1691,3,0,1,0,1,0,0
139.56,110,2,0,0,0,0,0,0
79.15,1295,2,1,0,0,0,0,0
59.4,1404,0,1,2,0,0,1,1
49.35,300,2,0,1,0,1,1,1
15.2,1651,6,0,1,0,0,0,0
32.46,1756,4,1,2,0,0,0,0
42.07,1002,5,1,0,0,0,0,0
